,Institution,Control,State,Category
513,Northwest Missouri State University,Public,MO,In-person
514,Northwest Nazarene University,Private,ID,In-person
515,Northwestern College,Private,IA,In-person
516,Northwestern University,Private,IL,Hybrid model
517,Norwich University,Private,VT,In-person
518,Notre Dame of Maryland University,Private,MD,In-person
519,Nova Southeastern University,Private,FL,In-person
520,Oakland City University,Private,IN,In-person
521,Oakland Community College,Public,MI,Hybrid model
522,Oakland University,Public,MI,Hybrid model
523,Oberlin College,Private,OH,In-person
524,Ohio Dominican University,Private,OH,In-person
525,Ohio Northern University,Private,OH,In-person
526,Ohio State University,Public,OH,In-person
527,Ohio University,Public,OH,In-person
528,Ohio Wesleyan University,Private,OH,In-person
529,Oklahoma Panhandle State University,Public,OK,In-person
530,Oklahoma State University,Public,OK,In-person
531,Old Dominion University,Public,VA,In-person
532,Oral Roberts University,Private,OK,In-person
533,Oregon State University,Public,OR,In-person
534,Otterbein University,Private,OH,In-person
535,Ouachita Baptist University,Private,AR,In-person
536,Pace University,Private,NY,In-person
537,Pacific Lutheran University,Private,WA,In-person
538,Pacific Northwest College of Art,Private,OR,In-person
539,Pacific School of Religion,Private,CA,Hybrid model
540,Pacific University,Private,OR,In-person
541,Palm Beach Atlantic University,Private,FL,In-person
542,Palomar College,Public,CA,Hybrid model
543,Pennsylvania State University,Public,PA,Undecided
544,Pepperdine University,Private,CA,In-person
545,Pittsburg State University,Public,KS,In-person
546,Pittsburgh Technical College,Private,PA,Hybrid model
547,Plymouth State University,Public,MA,In-person
548,Point Loma Nazarene University,Private,CA,In-person
549,Point Park University,Public,PA,In-person
550,Pomona College,Private,CA,Undecided
551,Portland Community College,Public,OR,Online
552,Portland State University,Public,OR,Undecided
553,Post University,Private,CT,Hybrid model
554,Prairie View A&M University,Public,TX,In-person
555,Pratt Institute,Private,NY,Undecided
556,Presbyterian College,Private,SC,In-person
557,Prescott College,Private,AZ,In-person
558,Princeton University,Private,NJ,Undecided
559,Providence Christian College,Private,CA,In-person
560,Purdue University,Public,IN,In-person
561,Purdue University Fort Wayne,Public,IN,In-person
562,Queens University of Charlotte,Private,NC,Considering options
563,Quincy University,Private,IL,In-person
564,Radford University,Public,VA,In-person
565,Randolph College,Private,VA,In-person
566,Randolph-Macon College,Private,VA,In-person
567,Reed College,Private,OR,Undecided
568,Reformed Theological Seminary,Private,Multiple,In-person
569,Regis College,Private,MA,In-person
570,Regis University,Private,CO,In-person
571,Rensselaer Polytechnic Institute,Private,NY,Undecided
572,Rhodes College,Private,TN,In-person
573,Rice University,Private,TX,Hybrid model
574,Rider University,Private,NJ,Considering options
575,Roanoke College,Private,VA,In-person
576,Robert Morris University,Private,PA,In-person
577,Rochester Institute of Technology,Private,NY,In-person
578,Rockhurst University,Private,MO,In-person
579,Roger Williams University,Private,RI,In-person
580,Rollins College,Private,FL,In-person
581,Roosevelt University,Private,IL,Considering options
582,Rose-Hulman Institute of Technology,Private,IN,In-person
583,Rosemont College,Private,PA,Considering options
584,Rowan University,Public,NJ,Considering options
585,Rutgers University,Public,NJ,Considering options
586,Sacred Heart University,Private,CT,In-person
587,Sain Mary's University,Private,TX,In-person
588,Saint Francis University,Private,PA,In-person
589,Saint Lawrence University,Private,NY,Considering options
590,Saint Leo University,Private,FL,Undecided
591,Saint Mary's College,Private,IN,In-person
592,Saint Mary's University of Minnesota,Private,MI,In-person
593,Saint Norbert College,Private,WI,In-person
594,Samford University,Private,AL,In-person
595,San Bernardino Valley College,Public,CA,Hybrid model
596,San Diego Miramar College,Public,CA,Online
597,San Jacinto College,Public,TX,Undecided
598,San Jose City College,Public,CA,Online
599,Santa Clara University,Private,CA,In-person
600,Santa Monica College,Public,CA,Online
601,Santa Rosa Junior College,Public,CA,Online
602,Sarah Lawrence College,Private,NY,Considering options
603,Savannah College of Art and Design,Private,GA,In-person
604,School of Visual Arts,Private,NY,In-person
605,Schreiner University,Private,TX,In-person
606,Scripps College,Private,CA,Undecided
607,Seattle University,Private,WA,In-person
608,Seton Hall University,Private,NJ,In-person
609,Seton Hill University,Private,PA,In-person
610,Sewanee: The University of the South,Private,TN,In-person
611,Shenandoah University,Private,VA,Hybrid model
612,Shepherd University,Public,WV,Considering options
613,Siena College,Private,NY,In-person
614,Siena Heights University,Private,MI,In-person
615,Sierra College,Public,CA,Online
616,Simmons University,Private,MA,Hybrid model
617,Simpson College,Private,IA,In-person
618,Simpson University,Private,CA,In-person
619,Skidmore College,Private,NY,Undecided
620,Skyline College,Public,CA,Online
621,Slippery Rock University,Public,PA,Considering options
622,Slippery Rock University,Public,PA,In-person
623,Smith College,Private,MA,Considering options
624,Soka University of America,Private,CA,Online
625,South Dakota Board of Regents,Public,SD,Link
626,South Dakota Board of Regents — Black Hills State University,Public,SD,In-person
627,South Dakota Board of Regents — Dakota State University,Public,SD,In-person
628,South Dakota Board of Regents — Northern State University,Public,SD,In-person
629,South Dakota Board of Regents — South Dakota School of Mines and Technology,Public,SD,In-person
630,South Dakota Board of Regents — South Dakota State University,Public,SD,In-person
631,South Dakota Board of Regents — University of South Dakota,Public,SD,In-person
632,Southeast Missouri State University,Public,MO,Undecided
633,Southeastern Oklahoma State University,Public,OK,In-person
634,Southern Illinois University,Public,IL,Undecided
635,Southern Methodist University,Private,TX,In-person
636,Southern Nazarene University,Private,OK,In-person
637,Southern New Hampshire University,Private,NH,Online
638,Southern Wesleyan University,Private,SC,In-person
639,Southwest Baptist University,Private,MO,In-person
640,Southwest Minnesota State University,Public,MN,In-person
641,Southwestern Baptist Theological Seminary,Private,TX,In-person
642,Southwestern Oklahoma State University,Public,OK,In-person
643,Southwestern University,Private,TX,Hybrid model
644,Spring Arbor University,Private,MI,In-person
645,Springfield College,Private,MA,In-person
646,St. Bonaventure University,Private,NY,Considering options
647,St. Cloud State University,Public,MN,In-person
648,St. John Fisher College,Private,NY,In-person
649,St. John's University,Private,NY,Hybrid model
650,St. Louis University,Private,MO,In-person
651,St. Mary’s College of California,Private,CA,In-person
652,St. Michael's College,Private,VT,In-person
653,St. Olaf College,Private,MN,Considering options
654,St. Thomas University,Private,FL,In-person
655,St. Vincent College,Private,PA,In-person
656,Stanford University,Private,CA,Hybrid model
657,Stark State College,Public,OH,In-person
658,Stephen F. Austin State University,Public,TX,Undecided
659,Stetson University,Private,FL,In-person
660,Stevens Institute of Technology,Private,NJ,Considering options
661,Stockton University,Public,NJ,Undecided
662,Stony Brook University,Public,NY,Undecided
663,Suffolk University,Private,MA,Considering options
664,Susquehanna University,Private,PA,In-person
665,Swarthmore College,Private,PA,Undecided
666,Sweet Briar College,Private,VA,In-person
667,Syracuse University,Private,NY,In-person
668,Taylor University,Private,IN,In-person
669,Temple University,Public,PA,Hybrid model
670,Tennessee State University,Public,TN,In-person
671,Tennessee Technological University,Public,TN,In-person
672,Texas A&M University system — all campuses,Public,TX,Link
673,Texas A&M University system — Central Texas,Public,TX,In-person
674,Texas A&M University system — Commerce,Public,TX,In-person
675,Texas A&M University system — Corpus Christi,Public,TX,In-person
676,Texas A&M University system — International University,Public,TX,In-person
677,Texas A&M University system — Kingsville,Public,TX,In-person
678,Texas A&M University system — Prairie View A&M University ,Public,TX,In-person
679,Texas A&M University system — San Antonio,Public,TX,In-person
680,Texas A&M University system — Tarleton State University,Public,TX,In-person
681,Texas A&M University system — Texarkana,Public,TX,In-person
682,Texas A&M University system — Texas A&M University ,Public,TX,In-person
683,Texas A&M University system — West Texas A & M University ,Public,TX,In-person
684,Texas Christian University,Private,TX,In-person
685,Texas State University system,Public,TX,Link
686,Texas State University system — Lamar Institute of Technology,Public,TX,In-person
687,Texas State University system — Lamar State College Orange,Public,TX,In-person
688,Texas State University system — Lamar State College Port Arthur,Public,TX,In-person
689,Texas State University system — Lamar University,Public,TX,In-person
690,Texas State University system — Sam Houston State University,Public,TX,In-person
691,Texas State University system — Sul Ross State University,Public,TX,In-person
692,Texas State University system — Texas State University,Public,TX,In-person
693,Texas Tech University,Public,TX,In-person
694,Texas Wesleyan University,Private,TX,In-person
695,Texas Woman's University,Public,TX,In-person
696,The Baptist College of Florida,Private,FL,In-person
697,The New School,Private,NY,Considering options
698,Thiel College,Private,PA,In-person
699,Thomas Jefferson University,Private,PA,In-person
700,Transylvania University,Private,KY,Undecided
701,Trevecca Nazarene University,Private,TN,In-person
702,Trine University,Private,IN,In-person
703,Trinity College,Private,IL,In-person
704,Trinity University,Private,TX,In-person
705,Trinity Washington University,Private,DC,Hybrid model
706,Troy University,Public,AL,In-person
707,Tufts University,Private,MA,Considering options
708,Tulane University,Private,LA,In-person
709,Tulsa Community College,Public,OK,In-person
710,Union College,Private,NY,In-person
711,Union University,Private,TN,In-person
712,Universitty of Texas at El Paso,Public,TX,Considering options
713,University of Akron,Public,OH,In-person
714,University of Alabama — all system campuses,Public,AL,Link
715,University of Alabama at Birmingham,Public,AL,In-person
716,University of Alabama at Huntsville,Public,AL,In-person
717,University of Alabama at Tuscaloosa,Public,AL,In-person
718,"University of Alaska, Anchorage",Public,AK,Hybrid model
719,University of Arizona,Public,AZ,In-person
720,University of Arkansas — all system campuses,Public,AR,Link
721,University of Arkansas at Fayetteville,Public,AR,In-person
722,University of Arkansas at Fort Smith,Public,AR,In-person
723,University of Arkansas at Little Rock,Public,AR,In-person
724,University of Bridgeport,Private,CT,In-person
725,University of Buffalo,Public,NY,Considering options
726,University of California at Berkeley,Public,CA,Hybrid model
727,University of California at Davis,Public,CA,Hybrid model
728,University of California at Irvine,Public,CA,Online
729,University of California at Los Angeles,Public,CA,Hybrid model
730,University of California at Riverside,Public,CA,Undecided
731,University of California at San Diego,Public,CA,Hybrid model
732,University of California at Santa Barbara,Public,CA,Considering options
733,University of California at Santa Cruz,Public,CA,Considering options
734,University of Central Arkansas,Public,AR,In-person
735,University of Central Florida,Public,FL,In-person
736,University of Central Missouri,Public,MO,In-person
737,University of Central Oklahoma,Public,OK,In-person
738,University of Charleston,Private,WV,In-person
739,University of Chicago,Private,IL,Undecided
740,University of Cincinnati,Public,OH,Undecided
741,University of Colorado at Boulder,Public,CO,Hybrid model
742,University of Colorado at Denver,Public,CO,Hybrid model
743,University of Connecticut,Public,CT,Considering options
744,University of Dallas,Private,TX,In-person
745,University of Dayton,Private,OH,In-person
746,University of Delaware,Public,DE,In-person
747,University of Denver,Private,CO,In-person
748,University of Detroit Mercy,Private,MI,Hybrid model
749,University of Evansville,Private,IN,In-person
750,University of Findlay,Private,OH,In-person
751,University of Florida,Public,FL,In-person
752,University of Hartford,Private,CT,In-person
753,University of Hawaii,Public,HI,In-person
754,University of Houston,Public,TX,Considering options
755,University of Idaho,Public,ID,In-person
756,University of Illinois at Chicago,Public,IL,Hybrid model
757,University of Illinois at Springfield,Public,IL,In-person
758,University of Illinois at Urbana-Champaign,Public,IL,In-person
759,University of Indianapolis,Private,IN,In-person
760,University of Iowa,Public,IA,In-person
761,University of Kansas,Public,KS,In-person
762,University of Kentucky,Public,KY,In-person
763,University of La Verne,Private,CA,In-person
764,University of Louisiana system,Public,LA,Link
765,University of Louisiana system — Grambling State University,Public,LA,In-person
766,University of Louisiana system — Louisiana Tech University,Public,LA,In-person
767,University of Louisiana system — McNeese State University,Public,LA,In-person
768,University of Louisiana system — Nicholls State University,Public,LA,In-person
769,University of Louisiana system — Northwestern State University,Public,LA,In-person
770,University of Louisiana system — Southeastern Louisiana University,Public,LA,In-person
771,University of Louisiana system — University of Louisiana at Lafayette,Public,LA,In-person
772,University of Louisiana system — University of Louisiana at Monroe,Public,LA,In-person
773,University of Louisiana system — University of New Orleans,Public,LA,In-person
774,University of Louisville,Public,KY,Considering options
775,University of Lynchburg,Private,VA,In-person
776,University of Maine –- Machias,Public,ME,In-person
777,University of Maine — all system campuses,Public,ME,Link
778,University of Maine — Augusta,Public,ME,In-person
779,University of Maine — Farmington,Public,ME,In-person
780,University of Maine — Fort Kent,Public,ME,In-person
781,University of Maine — Presque Isle,Public,ME,In-person
782,University of Maine — University of Southern Maine,Public,ME,In-person
783,University of Mary,Private,ND,In-person
784,University of Mary Hardin-Baylor,Private,TX,In-person
785,University of Mary Washington,Public,VA,In-person
786,University of Massachusets Amherst,Public,MA,Undecided
787,University of Massachusetts at Boston,Public,MA,Undecided
788,University of Massachusetts at Dartmouth,Public,MA,Undecided
789,University of Memphis,Public,TN,In-person
790,University of Miami,Private,FL,In-person
791,University of Michigan at Ann Arbor,Public,MI,In-person
792,University of Michigan at Dearborn,Public,MI,In-person
793,University of Michigan at Flint,Public,MI,In-person
794,University of Minnesota,Public,MN,In-person
795,University of Missouri,Public,MO,In-person
796,University of Missouri at Kansas City,Public,MO,In-person
797,University of Missouri at Kansas City,Public,MO,In-person
798,University of Mobile,Private,AL,In-person
799,University of Montana,Public,MT,In-person
800,University of Montevallo,Public,AL,In-person
801,University of Nebraska — all system campuses,Public,NE,Link
802,University of Nebraska — Kearney,Public,NE,In-person
803,University of Nebraska — Lincoln,Public,NE,In-person
804,University of Nebraska — Omaha,Public,NE,In-person
805,"University of Nevada, Las Vegas",Public,NV,Hybrid model
806,"University of Nevada, Reno",Public,NV,In-person
807,University of New England,Private,ME,In-person
808,University of New Hampshire,Public,NH,In-person
809,University of New Haven,Private,CT,Considering options
810,University of New Mexico,Public,NM,Hybrid model
811,University of North Carolina at Asheville,Public,NC,In-person
812,University of North Carolina at Chapel Hill,Public,NC,In-person
813,University of North Carolina at Charlotte,Public,NC,In-person
814,University of North Carolina at Greensboro,Public,NC,In-person
815,University of North Carolina at Pembroke,Public,NC,In-person
816,University of North Carolina School of the Arts,Public,NC,In-person
817,University of North Texas,Public,TX,In-person
818,University of Northern Colorado,Public,CO,In-person
819,University of Northern Iowa,Public,IA,Hybrid model
820,University of Northwestern – St. Paul,Private,MN,In-person
821,University of Noth Alabama,Public,AL,In-person
822,University of Notre Dame,Private,IN,In-person
823,University of Oklahoma,Public,OK,In-person
824,University of Oregon,Public,OR,In-person
825,University of Pennsylvania,Private,PA,Considering options
826,University of Pittsburgh,Public,PA,Considering options
827,University of Pittsburgh,Pubic,PA,In-person
828,University of Portland,Private,OR,In-person
829,University of Puget Sound,Private,WA,In-person
830,University of Redlands,Private,CA,Considering options
831,University of Richmond,Private,VA,Considering options
832,University of Rochester,Private,NY,Considering options
833,University of Saint Francis,Private,IN,In-person
834,University of San Diego,Private,CA,Hybrid model
835,University of San Francisco,Private,CA,In-person
836,University of Scranton,Private,PA,In-person
837,University of South Alabama,Public,AL,Hybrid model
838,University of South Carolina,Public,SC,In-person
839,University of South Florida	,Public,FL,In-person
840,University of Southern California,Private,CA,Hybrid model
841,University of Tampa,Private,FL,In-person
842,University of Tennessee system,Public,TN,Link
843,University of Tennessee system — Chattanooga,Public,TN,In-person
844,University of Tennessee system — Knoxville,Public,TN,In-person
845,University of Tennessee system — Martin,Public,TN,In-person
846,University of Texas at Arlington,Public,TX,Hybrid model
847,University of Texas at Austin,Public,TX,In-person
848,University of Texas at Dallas,Public,TX,Considering options
849,University of Texas at San Antonio,Public,TX,Considering options
850,University of the Cumberlands,Private,KY,In-person
851,University of the Pacific,Private,CA,Hybrid model
852,University of Toledo,Public,OH,In-person
853,University of Tulsa,Private,OK,Hybrid model
854,University of Vermont,Public,VT,In-person
855,University of Virginia,Public,VA,In-person
856,University of Washington,Public,WA,In-person
857,University of West Alabama,Public,AL,In-person
858,University of Wisconsin at Eau Claire,Public,WI,In-person
859,University of Wisconsin at Green Bay,Public,WI,In-person
860,University of Wisconsin at Madison,Public,WI,Considering options
861,University of Wisconsin at Milwaukee,Public,WI,Considering options
862,University of Wisconsin at River Falls,Public,WI,In-person
863,University of Wisconsin-Stout,Public,WI,In-person
864,University of Wyoming,Public,WY,In-person
865,University System of Georgia,Public,GA,Link
866,University System of Georgia — Abraham Baldwin Agricultural College,Public,GA,In-person
867,University System of Georgia — Albany State University,Public,GA,In-person
868,University System of Georgia — Atlanta Metropolitan State College,Public,GA,In-person
869,University System of Georgia — Augusta University,Public,GA,In-person
870,University System of Georgia — Clayton State University,Public,GA,In-person
871,University System of Georgia — College of Coastal Georgia,Public,GA,In-person
872,University System of Georgia — Columbus State University,Public,GA,In-person
873,University System of Georgia — Dalton State College,Public,GA,In-person
874,University System of Georgia — East Georgia State College,Public,GA,In-person
875,University System of Georgia — Fort Valley State University,Public,GA,In-person
876,University System of Georgia — Georgia Gwinnett College,Public,GA,In-person
877,University System of Georgia — Georgia Highlands College,Public,GA,In-person
878,University System of Georgia — Georgia Institute of Technology,Public,GA,In-person
879,University System of Georgia — Georgia Southern University,Public,GA,In-person
880,University System of Georgia — Georgia Southwestern State University,Public,GA,In-person
881,University System of Georgia — Georgia State University,Public,GA,Hybrid model
882,University System of Georgia — Gordon State College,Public,GA,In-person
883,University System of Georgia — Kennesaw State University,Public,GA,In-person
884,University System of Georgia — Middle Georgia State University,Public,GA,In-person
885,University System of Georgia — Savannah State University,Public,GA,In-person
886,University System of Georgia — South Georgia State College,Public,GA,In-person
887,University System of Georgia — University of Georgia,Public,GA,In-person
888,University System of Georgia — University of North Georgia,Public,GA,In-person
889,University System of Georgia — University of West Georgia,Public,GA,In-person
890,University System of Georgia — Valdosta State University,Public,GA,In-person
891,University System of Maryland,Public,MD,Link
892,University System of Maryland — Bowie State University,Public,MD,Hybrid model
893,University System of Maryland — Coppin State University,Public,MD,Hybrid model
894,University System of Maryland — Frostburg State University,Public,MD,Hybrid model
895,University System of Maryland — Salisbury University,Public,MD,Hybrid model
896,University System of Maryland — Towson University,Public,MD,Hybrid model
897,University System of Maryland — University of Baltimore,Public,MD,Hybrid model
898,University System of Maryland — University of Maryland at College Park,Public,MD,Hybrid model
899,"University System of Maryland — University of Maryland, Baltimore County",Public,MD,Hybrid model
900,"University System of Maryland — University of Maryland, Eastern Shore",Public,MD,Hybrid model
901,Ursinus College,Private,PA,Undecided
902,Utah System of Higher Education — all campuses,Public,UT,Link
903,Utah System of Higher Education — Dixie State University,Public,UT,In-person
904,Utah System of Higher Education — Salt Lake Community College,Public,UT,In-person
905,Utah System of Higher Education — Snow College,Public,UT,In-person
906,Utah System of Higher Education — Southern Utah University,Public,UT,In-person
907,Utah System of Higher Education — University of Utah,Public,UT,In-person
908,Utah System of Higher Education — Utah State University,Public,UT,In-person
909,Utah System of Higher Education — Utah Valley University,Public,UT,In-person
910,Utah System of Higher Education — Weber State University,Public,UT,In-person
911,Valencia College,Public,FL,Online
912,Valparaiso University,Private,IN,In-person
913,Vanderbilt University,Private,TN,Hybrid model
914,Vanguard University,Private,CA,In-person
915,Vassar College,Private,NY,Undecided
916,Vermont Technical College,Public,VT,In-person
917,Villanova University,Private,PA,Undecided
918,Virginia Commonwealth University,Public,VA,In-person
919,Virginia Commonwealth University,Public,VA,In-person
920,Virginia Tech,Public,VA,Hybrid model
921,Virginia Wesleyan University,Private,VA,In-person
922,Wabash College,Private,IN,In-person
923,Wake Forest University,Private,NC,In-person
924,Walsh University,Private,OH,Considering options
925,Warren Wilson College,Private,NC,In-person
926,Washburn University,Public,KS,In-person
927,Washington and Jefferson College,Private,PA,Considering options
928,Washington College,Private,MD,In-person
929,Washington State University,Public,WA,In-person
930,Washington University in St. Louis,Private,MO,In-person
931,Washtenaw Community College,Public,MI,Hybrid model
932,Wayland Baptist University,Private,TX,In-person
933,Wayne State University,Public,MI,Online
934,Waynesburg University,Private,PA,In-person
935,Webster University,Private,MO,In-person
936,Wellesley College,Private,MA,Undecided
937,Wentworth Institute of Technology,Private,MA,Considering options
938,Wesley College,Private,DE,Considering options
939,West Chester University,Public,PA,Undecided
940,West Liberty University,Public,WV,In-person
941,West Valley College,Public,CA,Online
942,West Virginia University,Public,WV,In-person
943,West Virginia Wesleyan College,Private,WV,In-person
944,Western Colorado University,Public,CO,In-person
945,Western Connecticut State University,Public,CT,Hybrid model
946,Western Michigan University,Public,MI,In-person
947,Western Nevada College,Public,NV,Considering options
948,Western New England University,Private,MA,In-person
949,Western Washington University,Public,WA,Hybrid model
950,Westminster College,Private,MO,In-person
951,Westminster College (Penn.),Private,PA,In-person
952,Westminster College (Utah),Private,UT,In-person
953,Wheaton College (Ill.),Private ,IL,In-person
954,Wheaton College (Mass.),Private,MA,In-person
955,Whitworth University,Private,WA,In-person
956,Wichita State University,Public,KS,Hybrid model
957,Widener University,Private,PA,Considering options
958,Wilkes University,Private,PA,In-person
959,Wilkes University,Private,PA,In-person
960,Willamette University,Private,OR,In-person
961,William Jessup University,Private,CA,In-person
962,William Jewell College,Private,MO,In-person
963,Williams Baptist University,Private,AR,In-person
964,Williams College,Private,MA,Undecided
965,Winona State University,Public,MN,Undecided
966,Winston-Salem State University,Public,NC,In-person
967,Winthrop University,Public,SC,In-person
968,Wittenberg University,Private,OH,In-person
969,Wofford College,Private,SC,Undecided
970,Worcester Polytechnic Institute,Private,MA,Undecided
971,Worcester State University,Public,MA,Considering options
972,Wright State Unviersity,Public,OH,Undecided
973,Xavier University,Private,OH,In-person
974,Xavier University of Louisiana,Private,LA,Hybrid model
975,Yale University,Private,CT,Undecided
976,Yeshiva University,Private,NY,Considering options
977,York College,Public,NY,In-person
978,York College of Pennsylvania,Private,PA,In-person
979,Youngstown State University,Public,OH,In-person
